timestamp,amf_instance_id,is_anomaly,anomaly_type,RM.RegReqAtt,RM.RegReqSucc,RM.RegReqFail,RM.RegSuccRate,RM.InitRegReqAtt,RM.InitRegReqSucc,RM.MobilityRegReqAtt,RM.MobilityRegReqSucc,RM.PeriodicRegReqAtt,RM.PeriodicRegReqSucc,RM.DeregReqAtt,RM.DeregReqSucc,CM.ServiceReqAtt,CM.ServiceReqSucc,CM.ServiceReqSuccRate,CM.N2RelAtt,CM.N2RelSucc,MM.HoReqAtt,MM.HoReqSucc,MM.HoSuccRate,MM.XnHoReqAtt,MM.XnHoReqSucc,MM.N2IntraHoReqAtt,MM.N2IntraHoReqSucc,MM.N2InterHoReqAtt,MM.N2InterHoReqSucc,MM.EPS2fiveGSMobAtt,MM.fiveGS2EPSMobAtt,MM.N26HoAtt,PAG.PagingReqAtt,PAG.PagingReqSucc,PAG.PagingSuccRate,PAG.PagingDiscarded,PAG.PagingRetry,PAG.UeInIdleMode,UC.UeContextCreated,UC.UeContextReleased,UC.UeContextModified,UC.ActiveUeContext,UC.MaxUeContextCap,UC.ContextUtilRate,SM.PduSessEstabAtt,SM.PduSessEstabSucc,SM.PduSessEstabSuccRate,SM.PduSessRelAtt,SM.PduSessRelSucc,SM.PduSessModAtt,SM.PduSessModSucc,SM.VoNRAtt,SM.EPSFallbackAtt,SM.SMSAtt,AUTH.AuthProcAtt,AUTH.AuthProcSucc,AUTH.AuthProcFail,AUTH.AuthSuccRate,AUTH.NasSecModeAtt,AUTH.NasSecModeSucc,N1N2.N1MsgSent,N1N2.N1MsgRecv,N1N2.N2MsgSent,N1N2.N2MsgRecv,N1N2.NgapConnActive,N1N2.TotalMsgLoad,RES.CpuUtil,RES.RhoCPU_weighted,RES.MemUtil,RES.MemTotal_MB,RES.MemBase_MB,RES.MemCtx_MB,RES.MemPDU_MB,RES.MemSigBuf_MB,RES.MemAuthCache_MB,RES.Latency_ms,RES.Wq_ms,RES.Lat_InitReg_ms,RES.Lat_MobReg_ms,RES.Lat_PerReg_ms,RES.Lat_SrvReq_ms,RES.Lat_N2Rel_ms,RES.Lat_XnHO_ms,RES.Lat_N2HO_ms,RES.Lat_PduEstab_ms,RES.Lat_Auth_ms,RES.Lat_Paging_ms,RES.Throughput_mps,RES.QueueLength,RES.ActiveWorkers,RES.ActiveUEs,RES.ConnectedUEs,RES.IdleUEs,RES.CPU_eMBB_pct,RES.CPU_mMTC_pct,RES.CPU_URLLC_pct,RES.Mem_eMBB_MB,RES.Mem_mMTC_MB,RES.Mem_URLLC_MB,RES.Lat_eMBB_ms,RES.Lat_mMTC_ms,RES.Lat_URLLC_ms,RES.CpuCyclesPerMsg,RES.MemBytesPerUE,RES.SliceLoadEntropy,RES.Jackson_eMBB_eps,RES.Jackson_mMTC_eps,RES.Jackson_URLLC_eps,SLA.eMBB_breach,SLA.mMTC_breach,SLA.URLLC_breach
2024-01-01 02:30:00,AMF_00,0,none,20048,20015,33,99.835,4086,4074,8046,8025,7916,7916,1202,1199,124825,124825,100.0,156190,156190,97069,96174,99.078,66147,65727,24694,24318,6228,6129,12485,4233,5428,60418,60184,99.613,169,60,72404,12132,157392,15466,27820,60000,46.367,6520,6482,99.417,2655,2645,9190,9162,768,1889,1797,12132,12127,5,99.959,12132,12132,899131,902235,788822,798738,48,1808074,29.9,0.2887,10.86,899.7,512.0,139.1,68.6,0.0,180.0,9.734,0.0,27.729,19.803,7.835,11.912,5.517,7.992,24.724,27.342,11.483,5.811,1875.503,0,4,27452,27452,72404,37.99,4.93,5.55,228.56,61.61,174.63,0.778,3.379,0.52,206923.7,33912.1,1.1402,400.155,105.72,48.395,0,0,0
2024-01-01 02:45:00,AMF_00,0,none,19220,19157,63,99.672,3875,3871,8926,8890,6419,6396,1092,1091,150377,150057,99.787,182799,182679,108045,107162,99.183,68930,68592,29943,29523,9172,9047,10906,4100,7011,44194,44099,99.785,222,0,72165,12801,183891,14883,27039,60000,45.065,8226,8226,100.0,2250,2245,10667,10617,985,2047,1618,12801,12790,11,99.914,12801,12801,1058301,879166,968321,1204450,52,2031731,33.42,0.3318,10.82,896.5,512.0,135.2,69.3,0.0,180.0,12.799,0.0,28.808,22.899,8.443,15.474,8.016,19.318,16.58,14.161,12.214,7.066,2251.802,0,4,27713,27713,72165,38.67,5.81,7.81,231.11,61.53,174.67,0.864,2.162,0.573,199034.6,34765.5,1.2794,445.957,99.592,71.2,0,0,0
2024-01-01 03:00:00,AMF_00,0,none,19542,19458,84,99.57,4190,4175,8720,8660,6632,6623,1052,1052,142500,141665,99.414,171006,171006,114723,113747,99.149,66677,66305,40263,39784,7783,7658,10940,4371,5629,64029,63638,99.389,190,294,72110,12910,172058,14782,26976,60000,44.96,7675,7624,99.336,3456,3454,9365,9291,994,2351,2253,12910,12888,22,99.83,12910,12861,1177522,1179141,1115103,989575,51,2037974,31.32,0.3255,10.58,896.4,512.0,134.9,69.5,0.0,180.0,11.85,0.0,34.118,21.661,8.788,14.969,3.625,19.197,25.186,19.659,20.052,4.153,2547.361,0,4,27793,27793,72110,36.68,5.34,7.9,231.6,61.51,175.14,0.722,1.526,0.426,171970.1,34842.2,1.3205,460.708,89.852,68.159,0,0,0
2024-01-01 03:15:00,AMF_00,0,none,23031,22991,40,99.826,5297,5293,10493,10464,7241,7234,1411,1411,180313,180026,99.841,229197,228624,133034,131793,99.067,89612,88964,34047,33597,9375,9232,13492,5335,9636,67611,67319,99.568,181,130,71483,15790,230608,17177,28983,60000,48.305,10364,10325,99.624,2944,2943,11151,11110,1206,3297,2111,15790,15779,11,99.93,15790,15781,1081475,1037767,1497447,1209394,50,2461428,40.36,0.4095,10.81,908.0,512.0,144.9,71.1,0.0,180.0,11.139,0.0,14.01,24.126,8.149,12.578,5.616,17.694,20.892,25.603,11.616,6.826,2865.469,0,5,28427,28427,71483,44.83,4.73,6.18,236.93,61.59,175.33,1.426,2.569,0.466,192618.1,32849.9,1.2972,568.461,109.038,72.478,0,0,0
2024-01-01 03:30:00,AMF_00,0,none,23707,23660,47,99.802,4831,4831,9784,9767,9092,9062,1479,1479,206660,206302,99.827,203996,203996,130898,129751,99.124,78779,78500,43835,43111,8284,8140,13364,3944,10675,67780,67348,99.363,352,112,71144,14615,205475,18374,28574,60000,47.623,7821,7788,99.578,2875,2871,12809,12768,1285,3379,1385,14615,14605,10,99.932,14615,14548,1148844,956028,1290076,1491410,53,2426033,40.25,0.4083,10.82,906.8,512.0,142.9,71.9,0.0,180.0,9.617,0.0,16.405,18.788,7.997,7.998,4.991,18.323,23.495,15.074,13.905,4.537,2709.911,0,5,28776,28776,71144,43.36,5.45,9.15,239.49,61.68,175.82,0.807,3.127,0.417,203845.7,33277.1,1.2844,561.89,109.038,69.038,0,0,0
2024-01-01 03:45:00,AMF_00,0,none,25520,25488,32,99.875,5649,5649,11311,11279,8560,8560,1499,1495,211650,211200,99.787,261985,261668,135600,134535,99.215,83004,82726,39274,38685,13322,13124,14661,5370,12023,68858,68617,99.65,150,50,70386,16960,263484,19305,29930,60000,49.883,11267,11241,99.769,3598,3596,11002,10984,1320,4593,2528,16960,16891,69,99.593,16960,16960,1538059,1346044,1634110,1270348,50,2728125,45.01,0.4611,10.56,915.5,512.0,149.7,73.9,0.0,180.0,8.655,0.0,26.263,19.171,9.161,8.977,3.647,11.742,20.239,14.031,18.135,7.7,3524.632,0,6,29545,29545,70386,57.16,4.4,9.2,246.51,61.71,175.54,0.766,2.059,0.485,176699.3,32074.3,1.3843,655.214,97.351,77.541,0,0,0
2024-01-01 04:00:00,AMF_00,0,none,24496,24412,84,99.657,5049,5047,10675,10607,8772,8758,1799,1798,183791,183489,99.836,180106,180049,133329,132072,99.057,89196,88479,34933,34547,9200,9046,10163,4235,8332,55158,54800,99.351,192,188,70891,15724,181905,18902,28501,60000,47.502,8486,8447,99.54,3287,3287,12543,12516,1329,2696,1830,15724,15708,16,99.898,15724,15660,1164293,1423610,1288566,1094403,48,2242065,39.35,0.3748,10.27,907.1,512.0,142.5,72.6,0.0,180.0,11.366,0.0,31.744,19.748,5.42,10.075,5.833,18.0,24.858,26.346,14.623,6.441,2725.399,0,4,29048,29048,70891,40.62,5.59,9.01,241.67,61.7,176.12,0.717,1.702,0.49,185960.6,33373.9,1.2797,494.972,109.038,76.955,0,0,0
2024-01-01 04:15:00,AMF_00,0,none,21058,21030,28,99.867,3812,3800,10415,10408,6831,6822,1144,1144,144339,144155,99.873,189403,188948,148102,146424,98.867,82382,81654,55630,54855,10090,9915,11970,4776,7834,68234,67897,99.506,330,6,71053,14227,190547,16618,29547,60000,49.245,8711,8683,99.679,3013,3011,11142,11090,1037,3443,1990,14227,14227,0,100.0,14227,14207,1369832,1101033,1238883,1098588,55,2319544,39.12,0.3621,11.04,912.0,512.0,147.7,72.2,0.0,180.0,9.848,0.0,37.283,11.671,7.526,9.304,6.377,8.64,25.56,20.476,10.378,3.914,2898.572,0,5,28893,28893,71053,39.73,5.35,10.19,239.99,61.67,176.75,0.88,2.778,0.569,167715.7,32364.3,1.4102,509.475,87.921,99.684,0,0,0
2024-01-01 04:30:00,AMF_00,0,none,30487,30394,93,99.695,6789,6775,14109,14049,9589,9570,1773,1773,231466,231125,99.853,276866,276866,191366,189410,98.978,123419,122409,54483,53746,13464,13255,14789,6632,13741,67723,67303,99.38,374,28,69667,20898,278639,22916,30540,60000,50.9,13186,13186,100.0,4805,4796,14274,14236,1851,3984,3178,20898,20818,80,99.617,20898,20898,1554834,1668827,1749739,1952357,53,3418725,52.67,0.5233,10.9,920.4,512.0,152.7,75.7,0.0,180.0,8.103,0.0,34.616,22.759,5.882,6.869,5.308,8.971,19.742,18.287,8.517,2.986,3671.748,0,6,30268,30268,69667,73.55,6.26,12.21,251.78,61.75,177.25,0.602,0.912,0.393,192325.3,31600.5,1.447,810.795,109.038,114.647,0,0,0
2024-01-01 04:45:00,AMF_00,0,none,27505,27480,25,99.909,5010,4998,13133,13123,9362,9359,1630,1627,200988,200561,99.788,228426,227768,189397,188031,99.279,127605,126970,48511,48016,13281,13045,19792,6518,12926,82398,81984,99.498,468,0,69334,18143,230056,21782,30575,60000,50.958,12790,12761,99.773,4429,4429,15562,15496,1262,5351,2348,18143,18113,30,99.835,18143,18139,1369162,1118513,917805,1455995,55,3011019,47.27,0.4624,11.05,921.4,512.0,152.9,76.5,0.0,180.0,8.523,0.0,15.996,33.039,9.023,6.986,4.967,9.089,17.813,16.13,26.67,4.691,2541.074,0,6,30598,30598,69334,50.95,6.18,15.41,254.51,61.69,177.94,0.83,1.746,0.385,244722.7,31598.6,1.4411,678.084,103.173,124.164,0,0,0
2024-01-01 05:00:00,AMF_00,0,none,25819,25746,73,99.717,5543,5543,11766,11713,8510,8490,1520,1516,227452,226751,99.692,223927,223256,155561,154426,99.27,103272,102771,39960,39473,12329,12182,18460,5198,12446,86012,85379,99.264,118,688,69038,17309,225447,19363,30915,60000,51.525,12686,12647,99.693,3860,3860,15199,15104,1504,4752,2766,17309,17173,136,99.214,17309,17301,2165558,1770027,1317992,1738271,49,2970880,44.38,0.4597,11.27,923.8,512.0,154.6,77.2,0.0,180.0,10.845,0.0,28.831,15.0,6.109,15.363,5.12,13.853,15.049,14.732,12.156,5.541,3870.611,0,6,30893,30893,69038,56.64,2.09,11.0,256.32,61.7,179.17,0.712,1.814,0.492,160387.0,31333.7,1.4713,679.612,91.87,121.378,0,0,0
2024-01-01 05:15:00,AMF_00,0,none,33253,33201,52,99.844,8644,8632,15719,15679,8890,8890,2088,2086,223451,223428,99.99,343310,342557,230227,228588,99.288,162398,161522,53325,52754,14504,14312,20971,8084,19279,104867,104441,99.594,386,36,68078,24363,345398,23586,32263,60000,53.772,15350,15283,99.564,5060,5054,18991,18942,1956,4151,4045,24363,24363,0,100.0,24363,24363,1530701,1801667,1909340,2030607,48,3893862,58.69,0.5962,11.13,932.9,512.0,161.3,79.6,0.0,180.0,10.232,0.0,29.124,20.087,8.684,9.693,7.293,13.638,16.783,18.493,12.196,6.919,3822.268,0,8,31853,31853,68078,73.81,4.07,16.53,264.7,61.66,179.8,1.111,2.463,0.523,209205.1,30321.6,1.51,918.707,102.487,150.057,0,0,0
2024-01-01 05:30:00,AMF_00,0,none,36532,36466,66,99.819,5980,5957,19286,19264,11266,11245,1637,1632,241926,241507,99.827,321832,321832,254181,251878,99.094,170304,169210,70091,69078,13786,13590,17972,7581,14321,101386,101010,99.629,687,0,67492,25266,323469,29414,32241,60000,53.735,14119,14064,99.61,4547,4546,17477,17428,1991,6507,3457,25266,25266,0,100.0,25266,25266,1768060,1287451,1811422,1445152,48,3763252,59.52,0.6089,12.42,934.3,512.0,161.2,81.1,0.0,180.0,10.714,0.0,17.357,16.901,8.698,11.901,10.19,5.939,22.905,17.893,12.095,4.791,3977.202,0,8,32439,32439,67492,74.01,4.03,17.11,270.12,61.65,179.57,1.052,1.885,0.585,205582.4,30386.4,1.4871,876.271,108.993,146.972,0,0,0
2024-01-01 05:45:00,AMF_00,0,none,33491,33413,78,99.767,8013,8007,15981,15952,9497,9454,1770,1766,322629,322629,100.0,336747,336591,265616,263467,99.191,178721,177624,67760,66925,19135,18918,23510,8093,15403,120886,120245,99.47,157,356,66914,23994,338517,24303,33782,60000,56.303,18111,18081,99.834,4446,4436,15940,15874,2703,7116,3123,23994,23994,0,100.0,23994,23986,1515200,1874656,2353422,2150514,52,4084162,68.13,0.6881,11.49,943.4,512.0,168.9,82.5,0.0,180.0,8.293,0.0,21.203,16.115,10.187,7.626,4.744,8.731,13.533,20.554,15.119,10.319,4298.469,0,9,33011,33011,66914,69.74,4.44,13.52,274.97,61.7,179.81,0.704,2.824,0.559,215806.4,29283.8,1.5007,985.087,109.038,139.361,0,0,0
2024-01-01 06:00:00,AMF_00,0,none,38271,38103,168,99.561,7559,7526,19261,19178,11451,11399,2514,2506,307290,306297,99.677,416501,416140,263671,261315,99.106,173797,172665,69640,68756,20234,19894,25527,7796,21687,155295,154417,99.435,550,235,65418,26820,419015,29736,34857,60000,58.095,16386,16359,99.835,6306,6306,20726,20571,2821,9475,4447,26820,26820,0,100.0,26820,26820,1806346,3044237,2389900,2113217,50,4636910,73.23,0.7418,11.75,952.6,512.0,174.3,86.3,0.0,180.0,7.135,0.0,34.495,24.724,6.945,5.657,4.055,9.638,15.796,17.169,11.86,5.13,4662.496,0,10,34506,34506,65418,95.37,5.43,17.26,288.17,61.7,180.2,0.958,1.381,0.623,213620.0,28654.8,1.5217,1155.758,109.038,139.501,0,0,0
2024-01-01 06:15:00,AMF_00,0,none,45905,45777,128,99.721,7981,7938,26255,26206,11669,11633,3143,3139,266091,265666,99.84,417740,415802,265314,263438,99.293,157332,156841,87112,86075,20870,20522,32827,7047,26781,193300,192225,99.444,1330,0,63562,34236,420883,36687,36072,60000,60.12,21236,21140,99.548,8141,8119,23313,23114,2763,8142,5383,34236,34160,76,99.778,34236,34186,2809805,2915269,2657329,2861219,48,5388687,70.85,0.7366,11.05,963.3,512.0,180.4,90.9,0.0,180.0,8.718,0.0,23.101,21.213,8.193,11.506,3.466,12.118,15.455,24.475,11.608,5.194,6074.593,0,11,36363,36363,63562,99.5,2.92,13.8,305.01,61.55,180.72,0.671,1.196,0.585,162068.5,28001.2,1.5621,1388.781,97.012,147.695,0,0,0
2024-01-01 06:30:00,AMF_00,0,none,34014,33847,167,99.509,7786,7750,18083,17989,8145,8108,2432,2424,268353,267498,99.681,331408,331302,264462,262455,99.241,166744,166016,80446,79423,17272,17016,31378,8681,14632,143474,142558,99.362,903,9,64158,25869,333840,25456,36177,60000,60.295,22883,22851,99.86,7480,7459,18950,18895,2387,5770,4080,25869,25812,57,99.78,25869,25837,2885031,1852469,2550684,2086676,54,4255985,64.06,0.6545,11.68,962.3,512.0,180.9,89.4,0.0,180.0,9.46,0.0,35.26,11.572,6.728,8.8,4.631,11.781,23.464,18.493,14.966,5.671,6039.683,0,9,35762,35762,64158,86.49,2.83,15.02,299.8,61.56,180.36,1.09,1.521,0.381,145367.5,27891.6,1.5541,1045.258,87.384,149.482,0,0,0
2024-01-01 06:45:00,AMF_00,0,none,47671,47562,109,99.771,10311,10270,25712,25644,11648,11648,2599,2593,348582,348582,100.0,371569,371569,304412,301840,99.155,187525,186452,100971,99703,15916,15685,36292,11381,18162,130995,130450,99.584,685,0,63411,36023,374168,35993,36061,60000,60.102,21485,21380,99.511,6799,6790,29227,29101,2994,7793,3823,36023,35957,66,99.817,36023,35989,2526827,2763923,2299863,3469814,54,5240018,77.79,0.7784,12.2,963.6,512.0,180.3,91.3,0.0,180.0,8.28,0.0,22.31,21.15,7.53,3.983,3.478,13.637,22.291,14.408,15.328,6.662,5362.989,0,10,36502,36502,63411,95.12,4.43,22.0,305.15,61.6,182.21,0.853,1.722,0.516,195672.0,28018.2,1.5533,1286.994,108.131,183.603,0,0,0
